767|SCALAWAG DUCK|30
103|BUCKET BROTHERHOOD|29
753|RUSH GOODFELLAS|29
369|GOODFELLAS SALUTE|29
738|ROCKETEER MOTHER|29
1000|ZORRO ARK|28
31|APACHE DIVINE|28
973|WIFE TURN|28
789|SHOCK CABIN|28
748|RUGRATS SHAKESPEARE|28
609|MUSCLE BRIGHT|28
559|MARRIED GO|28
489|JUGGLER HARDLY|28
382|GRIT CLOCKWORK|28
378|GREATEST NORTH|28
418|HOBBIT ALIEN|28
341|FROST HEAD|28
331|FORWARD TEMPLE|28
239|DOGMA FAMILY|28
361|GLEAMING JAWBREAKER|27
109|BUTTERFLY CHOCOLAT|27
127|CAT CONEHEADS|27
891|TIMBERLAND SKY|27
849|STORM HAPPINESS|27
835|SPY MILE|27
730|RIDGEMONT SUBMARINE|27
697|PRIMARY GLASS|27
621|NETWORK PEAK|27
595|MOON BUNCH|27
403|HARRY IDAHO|27
